"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/03/2023","AirNow","061072010","1","0.03","ppm","28","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/04/2023","AirNow","061072010","1","0.033","ppm","31","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/05/2023","AirNow","061072010","1","0.038","ppm","35","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/06/2023","AirNow","061072010","1","0.037","ppm","34","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/07/2023","AirNow","061072010","1","0.023","ppm","21","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/08/2023","AirNow","061072010","1","0.033","ppm","31","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/09/2023","AirNow","061072010","1","0.027","ppm","25","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/10/2023","AirNow","061072010","1","0.042","ppm","39","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/11/2023","AirNow","061072010","1","0.031","ppm","29","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/12/2023","AirNow","061072010","1","0.025","ppm","23","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/13/2023","AirNow","061072010","1","0.023","ppm","21","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
"01/14/2023","AirNow","061072010","1","0.035","ppm","32","Porterville","24","100.0000","44201","Ozone","47300","Visalia-Porterville, CA","06","California","107","Tulare","36.0318310008979","-119.055018"
